id,taskid,docid,title,rightAnswer,choices
1,1,1,10月5日在美国亚特兰大参加TPP谈判的一共有多少个国家？,B,A.11\tB.12\tC.13\tD.14
2,1,2,自由贸易包括什么？,D,A.0关税\tB.货物、服务全部自由流动\tC.所有经济监管制度都必须统一标准\tD.增加各种补贴
3,1,3,下面哪一个国家不是TPP成员国？,D,A.美国\tB.日本\tC.加拿大\tD.俄罗斯
4,1,4,TPP会对中韩自贸协定产生什么影响？,D,A.中韩货物贸易自由化比例超过税目90%\tB.中韩自贸协定不再有效\tC.双方将开展服务贸易谈判\tD.没有提到
5,1,5,第22届亚太经合组织财长会上讨论了TPP的什么方面？,B,A.区域金融一体化\tB.没有讨论TPP\tC.财政改革与透明度\tD.基础设施发展融资
6,1,6,中国哪一年起正式成为世贸组织成员？,C,A.1999\tB.2000\tC.2001\tD.2002
7,1,-1,10月5日在美国亚特兰大参加TPP谈判的一共有多少个国家？,B,A.11\tB.12\tC.13\tD.14
8,1,-1,自由贸易包括什么？,D,A.0关税\tB.货物、服务全部自由流动\tC.所有经济监管制度都必须统一标准\tD.增加各种补贴
9,1,-1,下面哪一个国家不是TPP成员国？,D,A.美国\tB.日本\tC.加拿大\tD.俄罗斯
10,1,-1,TPP会对中韩自贸协定产生什么影响？,D,A.中韩货物贸易自由化比例超过税目90%\tB.中韩自贸协定不再有效\tC.双方将开展服务贸易谈判\tD.没有提到
11,1,-1,第22届亚太经合组织财长会上讨论了TPP的什么方面？,B,A.区域金融一体化\tB.没有讨论TPP\tC.财政改革与透明度\tD.基础设施发展融资
12,1,-1,中国哪一年起正式成为世贸组织成员？,C,A.1999\tB.2000\tC.2001\tD.2002
13,1,-1,什么是TPP?,B,A.传输控制协议\tB.跨太平洋伙伴关系协定\tC.自由贸易协定\tD.世纪贸易协定
14,1,-1,中国与TPP的关系是什么?,D,A.发起国\tB.主导国\tC.一般成员国\tD.并未加入
15,1,-1,下面哪一项不属于TPP的标准?,C,A.货币自由兑换\tB.国企私有化\tC.提升关税\tD.贸易和服务自由
16,2,1,促使国际上迫切寻找新结构类型抗疟药是因为什么战争？,C,A.朝鲜战争\tB.伊拉克战争\tC.越南战争\tD.阿富汗战争
17,2,2,下面哪一项表述不正确？,C,A.青蒿素提取自一种中医使用的中草药\tB.关于中医还存在很多争议\tC.西方医学对于传统中医药是完全抵制的\tD.屠呦呦是中国历史上第一位获得诺贝尔自然科学奖的中华人民共和国国籍科学家
18,2,3,下面哪一项描述不正确？,C,A.屠呦呦获得过“拉斯克奖”\tB.屠呦呦发现青蒿素过程中受到了中国传统医学的启发\tC.青蒿素是最早治疗疟疾的药物\tD.中国生产的青蒿素已经被世界卫生组织（WHO）列入“基本药品目录”
19,2,4,青蒿素和青霉素是什么关系？,D,A.是同一个东西\tB.青蒿素是青霉素的一种\tC.青霉素是青蒿素的一种\tD.没有提到二者之间有什么关系
20,2,5,诺贝尔和屠呦呦是什么关系？,C,A.诺贝尔是屠呦呦的老师\tB.他们是好友\tC.没提到有什么关系\tD.他们来自同一个国家
21,2,6,拉斯克奖分类中没有哪一项？,D,A.基础医学奖\tB.临床医学奖\tC.公众服务奖\tD.药学奖
22,2,-1,促使国际上迫切寻找新结构类型抗疟药是因为什么战争？,C,A.朝鲜战争\tB.伊拉克战争\tC.越南战争\tD.阿富汗战争
23,2,-1,下面哪一项表述不正确？,C,A.青蒿素提取自一种中医使用的中草药\tB.关于中医还存在很多争议\tC.西方医学对于传统中医药是完全抵制的\tD.屠呦呦是中国历史上第一位获得诺贝尔自然科学奖的中华人民共和国国籍科学家
24,2,-1,下面哪一项描述不正确？,C,A.屠呦呦获得过“拉斯克奖”\tB.屠呦呦发现青蒿素过程中受到了中国传统医学的启发\tC.青蒿素是最早治疗疟疾的药物\tD.中国生产的青蒿素已经被世界卫生组织（WHO）列入“基本药品目录”
25,2,-1,青蒿素和青霉素是什么关系？,D,A.是同一个东西\tB.青蒿素是青霉素的一种\tC.青霉素是青蒿素的一种\tD.没有提到二者之间有什么关系
26,2,-1,诺贝尔和屠呦呦是什么关系？,C,A.诺贝尔是屠呦呦的老师\tB.他们是好友\tC.没提到有什么关系\tD.他们来自同一个国家
27,2,-1,拉斯克奖分类中没有哪一项？,D,A.基础医学奖\tB.临床医学奖\tC.公众服务奖\tD.药学奖
28,2,-1,屠呦呦获得诺贝尔生理学或医学奖主要是与哪一种药物有关?,A,A.青蒿素\tB.青霉素\tC.大蒜素\tD.罗红霉素
29,2,-1,屠呦呦及其团队发明的新药物主要是对抗哪种疾病?,B,A.痢疾\tB.疟疾\tC.埃博拉\tD.艾滋病
30,2,-1,下面哪一项描述与屠呦呦不符?,D,A.无博士学位\tB.无外国研究背景\tC.无院士头衔\tD.无中华人民共和国国籍
31,3,1,下面哪一项不是朝鲜战争结束后劳动党领导人民完成的？,B,A.重建家园\tB.城乡一体化\tC.发展工业\tD.实现经济自立
32,3,2,下面哪一项没有在朝鲜劳动党的会议上提出过？,A,A.朝鲜已实现了共产主义工业化\tB.优先发展重工业，同时发展轻工业和农业的战后经济建设的基本路线\tC.打下社会主义工业化基础、基本解决人民衣食住问题的基本任务\tD.树立和巩固了以金日成同志为首的正确的马列主义领导核心
33,3,3,金正恩的讲话中没有提到哪一点？,C,A.为了社会主义建设，朝鲜劳动党从来都没有停止过改进自己的错误，改进自己的不足\tB.朝鲜劳动党在今天，在现在，仍然和美帝进行着艰苦的斗争\tC.朝鲜劳动党不应该再继续贯彻先军思想\tD.朝鲜劳动党在今后，都将会以人民为中心，以国家为中心，以统一为中心
34,3,4,朝鲜高官叛逃潮最初始于谁被处决的时候？,B,A.张成栋\tB.张成泽\tC.张成海\tD.张成江
35,3,5,朝鲜劳动党和韩国哪个政党关系紧密？,D,A.大韩女子国民党\tB.民主劳动党\tC.自由民主联合党\tD.没有提到
36,3,6,金辅铉太公和朝鲜劳动党有什么联系？,A,A.没有提到有什么联系\tB.创始人\tC.第三代领导人\tD.劳动党创始人的父亲
37,3,-1,下面哪一项不是朝鲜战争结束后劳动党领导人民完成的？,B,A.重建家园\tB.城乡一体化\tC.发展工业\tD.实现经济自立
38,3,-1,下面哪一项没有在朝鲜劳动党的会议上提出过？,A,A.朝鲜已实现了共产主义工业化\tB.优先发展重工业，同时发展轻工业和农业的战后经济建设的基本路线\tC.打下社会主义工业化基础、基本解决人民衣食住问题的基本任务\tD.树立和巩固了以金日成同志为首的正确的马列主义领导核心
39,3,-1,金正恩的讲话中没有提到哪一点？,C,A.为了社会主义建设，朝鲜劳动党从来都没有停止过改进自己的错误，改进自己的不足\tB.朝鲜劳动党在今天，在现在，仍然和美帝进行着艰苦的斗争\tC.朝鲜劳动党不应该再继续贯彻先军思想\tD.朝鲜劳动党在今后，都将会以人民为中心，以国家为中心，以统一为中心
40,3,-1,朝鲜高官叛逃潮最初始于谁被处决的时候？,B,A.张成栋\tB.张成泽\tC.张成海\tD.张成江
41,3,-1,朝鲜劳动党和韩国哪个政党关系紧密？,D,A.大韩女子国民党\tB.民主劳动党\tC.自由民主联合党\tD.没有提到
42,3,-1,金辅铉太公和朝鲜劳动党有什么联系？,A,A.没有提到有什么联系\tB.创始人\tC.第三代领导人\tD.劳动党创始人的父亲
43,3,-1,朝鲜劳动党成立于哪一年?,B,A.1943\tB.1945\tC.1947\tD.1949
44,3,-1,朝鲜劳动党第一任领导人是谁?,A,A.金日成\tB.金正日\tC.金敬姬\tD.金正恩
